u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,p1_n_m,p2_n_m,p3_n_m
-0.9957927398,0.5744312392,5.2538694799,0.1189157186,0.3782250378,0.5039754140,0.1089023205,0.1862291262,0.2944157681,-0.0040407937,-0.0003150403,-9144.8624666158
-1.0311539217,0.5963574893,5.3448263273,0.1178646664,0.3784955321,0.5036381062,0.1111169988,0.1894367499,0.2999358673,-0.0044170565,-0.0003493045,-9144.8081959851
-1.0670712308,0.6187158642,5.4355434693,0.1168130312,0.3787566990,0.5033018091,0.1133399569,0.1926353519,0.3054634874,-0.0048205881,-0.0003865297,-9144.7529475049
-1.1035406281,0.6415070844,5.5260173453,0.1157608564,0.3790085432,0.5029665354,0.1155711896,0.1958247910,0.3109986974,-0.0052528135,-0.0004269046,-9144.6967211751
-1.1405580188,0.6647318421,5.6162444368,0.1147081848,0.3792510698,0.5026322975,0.1178106917,0.1990049265,0.3165415651,-0.0057152030,-0.0004706251,-9144.6395169958
-1.1781192537,0.6883908022,5.7062212687,0.1136550595,0.3794842843,0.5022991073,0.1200584575,0.2021756172,0.3220921573,-0.0062092730,-0.0005178950,-9144.5813349669
-1.2162201290,0.7124846018,5.7959444094,0.1126015234,0.3797081929,0.5019669766,0.1223144809,0.2053367221,0.3276505396,-0.0067365865,-0.0005689251,-9144.5221750885
-1.2548563873,0.7370138510,5.8854104719,0.1115476191,0.3799228019,0.5016359169,0.1245787559,0.2084881003,0.3332167764,-0.0072987532,-0.0006239338,-9144.4620373604
-1.2940237179,0.7619791326,5.9746161146,0.1104933894,0.3801281186,0.5013059394,0.1268512758,0.2116296107,0.3387909309,-0.0078974300,-0.0006831472,-9144.4009217827
-1.3337177572,0.7873810027,6.0635580418,0.1094388767,0.3803241503,0.5009770550,0.1291320338,0.2147611125,0.3443730652,-0.0085343214,-0.0007467985,-9144.3388283554
-1.3739340896,0.8132199908,6.1522330044,0.1083841236,0.3805109050,0.5006492743,0.1314210225,0.2178824646,0.3499632401,-0.0092111800,-0.0008151287,-9144.2757570784
-1.4146682479,0.8394966002,6.2406378007,0.1073291723,0.3806883912,0.5003226077,0.1337182342,0.2209935262,0.3555615152,-0.0099298067,-0.0008883859,-9144.2117079517
-1.4559157137,0.8662113077,6.3287692769,0.1062740650,0.3808566179,0.4999970651,0.1360236609,0.2240941564,0.3611679488,-0.0106920510,-0.0009668257,-9144.1466809753
-1.4976719181,0.8933645645,6.4166243279,0.1052188438,0.3810155943,0.4996726564,0.1383372940,0.2271842146,0.3667825980,-0.0114998114,-0.0010507109,-9144.0806761492
-1.5399322425,0.9209567960,6.5041998980,0.1041635508,0.3811653303,0.4993493910,0.1406591244,0.2302635598,0.3724055184,-0.0123550354,-0.0011403116,-9144.0136934734
-1.5826920186,0.9489884022,6.5914929813,0.1031082277,0.3813058363,0.4990272780,0.1429891426,0.2333320517,0.3780367644,-0.0132597205,-0.0012359049,-9143.9457329477
-1.6259465297,0.9774597577,6.6785006225,0.1020529164,0.3814371229,0.4987063264,0.1453273385,0.2363895496,0.3836763891,-0.0142159134,-0.0013377750,-9143.8767945724
-1.6696910106,1.0063712122,6.7652199173,0.1009976583,0.3815592015,0.4983865448,0.1476737015,0.2394359130,0.3893244442,-0.0152257112,-0.0014462128,-9143.8068783472
-1.7139206489,1.0357230907,6.8516480135,0.0999424951,0.3816720837,0.4980679415,0.1500282204,0.2424710018,0.3949809799,-0.0162912610,-0.0015615161,-9143.7359842721
-1.7586305849,1.0655156934,6.9377821108,0.0988874681,0.3817757817,0.4977505244,0.1523908834,0.2454946757,0.4006460450,-0.0174147605,-0.0016839890,-9143.6641123473
-1.8038159128,1.0957492963,7.0236194621,0.0978326185,0.3818703079,0.4974343014,0.1547616780,0.2485067946,0.4063196870,-0.0185984578,-0.0018139421,-9143.5912625725
-1.8494716810,1.1264241512,7.1091573735,0.0967779874,0.3819556756,0.4971192799,0.1571405912,0.2515072187,0.4120019518,-0.0198446518,-0.0019516922,-9143.5174349479
-1.8955928928,1.1575404861,7.1943932053,0.0957236159,0.3820318980,0.4968054671,0.1595276092,0.2544958081,0.4176928838,-0.0211556923,-0.0020975620,-9143.4426294733
-1.9421745072,1.1890985052,7.2793243721,0.0946695448,0.3820989892,0.4964928698,0.1619227174,0.2574724235,0.4233925260,-0.0225339802,-0.0022518798,-9143.3668461489
-1.9892114391,1.2210983891,7.3639483436,0.0936158148,0.3821569636,0.4961814947,0.1643259007,0.2604369252,0.4291009199,-0.0239819674,-0.0024149797,-9143.2900849744
-2.0366985604,1.2535402954,7.4482626451,0.0925624664,0.3822058358,0.4958713480,0.1667371431,0.2633891742,0.4348181051,-0.0255021569,-0.0025872004,-9143.2123459500
-2.0846307006,1.2864243584,7.5322648578,0.0915095402,0.3822456212,0.4955624357,0.1691564279,0.2663290314,0.4405441201,-0.0270971032,-0.0027688862,-9143.1336290755
-2.1330026470,1.3197506898,7.6159526192,0.0904570765,0.3822763355,0.4952547637,0.1715837373,0.2692563582,0.4462790015,-0.0287694120,-0.0029603853,-9143.0539343511
-2.1818091460,1.3535193783,7.6993236242,0.0894051154,0.3822979946,0.4949483374,0.1740190531,0.2721710159,0.4520227844,-0.0305217403,-0.0031620508,-9142.9732617765
